class,lower,variants,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,merge_meanings,rep_examples,merge_examples,merge_book_maps
llm-sense,as,as | As,as,1364,45597,…처럼 / …으로서 / …하면서,"""~만큼"" / ""~와 같을 정도로"" / ""~이므로"" / ""~때에"" / ""~로써""",2,0,1
llm-proper,asa,asa | Asa,Asa,50212,35902,이름,필름 감도 기준 / 남자 이름 / 미국 표준 협회,0,0,2
llm-proper,ashley,ashley | Ashley,Ashley,50148,48895,이름,남자 이름,0,0,1
llm-proper,asia,asia | Asia,Asia,34003,16309,아시아,아시아,0,0,22
llm-proper,asian,asian | Asian,Asian,34002,2059,1. 아시아의  2. 아시아인  3. 동양인 / 아시아의 / 아시아 사람,아시아의 / 아시안 / 아시아인 / 동양인,0,0,13
llm-sense,ass,ass | ASS,ass,9664,45425,엉덩이 / 걷어 차다 / 구하다 / 바보 / 골칫거리,자동고장부분 개폐기,2,0,1
llm-sense,assuage,assuage | Assuage,assuage,11029,33003,완화시키다 / 진정시키다 / 누그러뜨리다 / 달래다,누그러뜨리다 / 달래다 / 채우다,1,0,1
llm-sense,atlantic,atlantic | Atlantic,atlantic,10219,33900,대서양 / 아틀란틱,대서양; 대서양의 / 1. 대서양(상)의  2. 대서양 연안의 / 대서양의 / 대서양 / 아틀라스 산맥의,2,0,7
llm-sense,attrite,Attrite | attrite,attrite,39745,28024,마멸된,마모된,0,0,1
llm-proper,audrey,audrey | Audrey,Audrey,49967,12950,이름,여자 이름,0,0,1
llm-sense,australian,australian | Australian,australian,2455,33996,오스트레일리아의 / 오스트레일리아 사람,1. 호주의   2. 호주 사람 / 호주의 / 호주인 / 호주 사람 / 호주 언어 / 오스트레일리아 사람 / 호주 어,0,0,4
llm-sense,austrian,Austrian | austrian,austrian,34726,33994,오스트리아의 / 오스트리아 학파의 / 오스트리아 학파의 경제학자,오스트리아의 / 오스트리아인,0,0,1
llm-sense,autograph,autograph | Autograph,autograph,7819,48407,서명 / 사인 / 서명(하다) / 사인(하다),자서전,3,0,1
llm-sense,baltic,baltic | Baltic,baltic,25836,33974,발트 해의 / 발트 어파 / 혹한의,발트 해(연안)의,0,0,1
llm-sense,banking,banking | Banking,banking,26896,27788,은행의 / 금융 / 뱅킹 / 바탕 / 은행업 / 금융업,은행거래,1,0,1
llm-sense,become,become | Become,become,137,48242,…이 되다 / 어울리다 / …해지다 / ~이 되다,목표,2,0,1
llm-sense,before,before | Before,before,3777,45605,전 / 이전에 / 적 / 앞에 / ~전에,~전에 / 앞쪽에 / 앞서서,2,0,1
llm-sense,beguile,beguile | Beguile,beguile,20294,33017,달래다 / 속이다 / 현혹시키다 / 기만하다 / 심심풀이하다,속이다 / 기만하다 / 속여서 빼앗다,2,0,1
llm-sense,berlin,berlin | Berlin,berlin,25861,33967,베를린 / 독일의 수도,베를린[독일의 수도 / 통일 전에는 시가지가 동 / 서독으로 양분되어 있었다.),0,0,1
llm-sense,billing,billing | Billing,billing,12947,27784,순위 / 게시 / 광고에 소요된 경비,청구,0,0,1
llm-proper,bobby,bobby | Bobby,Bobby,50233,30501,이름,남자 이름 / 경찰관 / 여자 이름,0,0,2
llm-sense,bonded,bonded | Bonded,bonded,18204,28030,공채에 의해 보증된 / 공채가 붙은 / 특수 접착제로 접착시킨,보세,2,0,1
llm-proper,boston,boston | Boston,Boston,49985,28628,미국 도시 이름,보스턴 / 보스턴 왈츠,0,0,4
llm-proper,boulevard,boulevard | Boulevard,Boulevard,48391,10274,(가로수가 늘어선 도시의) 도로,대로 / 넓은 가로수 길 / 큰 길,0,1,44
llm-proper,brad,Brad | brad,Brad,50075,50882,이름,영국 British Rate and Data의 줄임말,0,0,1
llm-proper,brady,brady | Brady,Brady,50062,30567,이름,「더딘」 「둔한」 「짧은」 「천천히」의 뜻,0,0,1
llm-sense,brandish,brandish | Brandish,brandish,6342,33000,휘두르다 / 휘두르기 / …을 과시하다,휘두르다 / 휘두르기 / 바싹 당기다,0,0,1
llm-sense,brazilian,brazilian | Brazilian,brazilian,10603,41035,브라질의 / 브라질인,브라질인 / 브라질 어,0,0,1
llm-proper,brian,brian | Brian,Brian,50199,35483,이름,남자 이름,0,0,2
llm-sense,british,british | British,british,286,34986,영국의 / 영연방의,영국사람 / 영국의 / 영국인의 / 영국인 / 영국 어 / 영국인│영국의,1,0,7
llm-proper,brown,brown | Brown,Brown,50207,2007,이름,브라운 / 갈색,0,2,100
llm-sense,brutal,brutal | Brutal,brutal,7404,29851,잔인한 / 폭력적인 / 무자비한 / 야만적인,잔혹한,2,0,1
llm-sense,buddhist,buddhist | Buddhist,buddhist,2724,37332,불교도 / 불교의 / 부처의,불교신자 / 불교도 / 부처의 / 불교의 / 불교도의,2,0,4
llm-sense,burden,burden | Burden,burden,674,47599,부담감 / 부담 / 짐 / 책임 / 가중되다,무거운짐 / 부담 / 귀찮은일 / 무거운짐을 지우다 / 귀찮은 / 요지,2,0,1
llm-sense,cajole,cajole | Cajole,cajole,17271,32999,감언이설로 속이다 / 감언으로 꾀다 / 아첨하다,감언으로 꾀다 / 부추겨서 하게 하다 / 그만두게 하다,2,0,1
llm-proper,caleb,caleb | Caleb,Caleb,50219,32008,이름,갈렙 / 남자 이름,0,0,2
llm-sense,canadian,canadian | Canadian,canadian,1314,36192,캐나다 사람 / 캐나다의,캐나다의 / 캐나다인,0,0,2
llm-sense,capillary,capillary | Capillary,capillary,17530,44558,모세관 현상의 / 모세관의 / 모세관,모세혈관,0,0,1
llm-sense,capitol,capitol | Capitol,capitol,7532,35142,미국 국회 의사당 / 수도,연방 의회 의사당,0,0,1
llm-sense,carnival,carnival | Carnival,carnival,9310,9491,카니발 / 축제 / 전시회 / 난장판,카니발 / 사육제,2,0,1
llm-proper,caroline,caroline | Caroline,Caroline,49959,28399,이름,영국 왕 찰스 1 / 2세의 / 여자 이름,0,0,1
llm-proper,carter,carter | Carter,Carter,49962,41407,이름,카터,0,0,3
llm-sense,catholic,catholic | Catholic,catholic,2363,36482,가톨릭 교회의 / 천주교의 / 가톨릭교도,가톨릭교의,1,0,1
llm-sense,chat,chat | Chat,chat,478,36163,채팅하다 / 이야기하다 / 수다떨다 / 메시지 / 채팅 / 대화하다,잡담하다. 잡담,2,0,1
llm-sense,chinese,chinese | Chinese,chinese,2226,35337,중국인 / 중국어 / 중국의 / 중국 사람,중국어 중국의 / 중국어 / 중국의 / 중국식 / 중국인,2,0,7
llm-proper,chloe,chloe | Chloe,Chloe,50045,14534,이름,여자 이름 / 클로에 / 전원시에 나오는 양치는 소녀,0,0,2
llm-proper,christine,christine | Christine,Christine,49946,37491,이름,여자 이름,0,0,2
llm-sense,christmas,christmas | Christmas,christmas,8048,34086,크리스마스 / 성탄절,(보통 무관사 단수) 크리스마스 / 그리스도 강탄제 / 성탄절[12월 25일 / 크리스마스 기간 / 크리스마스,2,0,5
llm-sense,circumvent,circumvent | Circumvent,circumvent,11638,33016,"포위하다 / 우회하다 / …을 포위하다 / 일주하다 / 사기 치다 / (불법적으로, 교묘하게) 피하다",우회하다 / 교묘히 회피하다 / …을 포위하다,3,0,1
llm-proper,civic,civic | Civic,Civic,30130,20876,① 시민의 ② 민간 ③ 도시의 ④ 시빅,시민의 / 민간 / 도시의 / 시빅 / 시민적,0,2,35
llm-proper,claire,claire | Claire,Claire,49986,29482,이름,여자 이름,0,0,1
llm-sense,clot,clot | Clot,clot,14159,44555,응고하다 / 응고시키다 / 미끈거리는 덩어리,피가]엉긴 덩어리,1,0,1
llm-sense,cloudy,cloudy | Cloudy,cloudy,4593,36234,흐린 / 구름의 / 구름이 낀 / 구름이 많은,구름낀,2,0,1
llm-sense,collectively,collectively | Collectively,collectively,10900,40183,전체적으로 / 일괄하여 / 단결하여,집합적으로 / 전체적으로,0,0,1
llm-sense,communist,communist | Communist,communist,2215,16736,공산주의의 / 공산당원,공산주의자,0,0,1
llm-sense,composite,composite | Composite,composite,6424,30378,복합의 / 합성어,① 합성의 ② 합성물 ③ 복합 재료,2,0,1
llm-sense,conclude,conclude | Conclude,conclude,1766,29813,결론짓다 / 체결하다 / 맺다 / 종결하다,결론을내리다,2,0,1
llm-sense,confinement,confinement | Confinement,confinement,7314,29821,감금 / 속박 / 유폐,갇힘,2,0,1
llm-sense,congratulation,congratulation | Congratulation,congratulation,1395,37645,축하하다 / 축하의 말,축하해,2,0,1
llm-sense,congress,congress | Congress,congress,1078,30106,의회 / 회의,① 의회 ② 회의 / 의회 / 국회,1,0,3
llm-sense,conscientiously,conscientiously | Conscientiously,conscientiously,18504,29847,양심적으로 / 성실히 / 소심하게,성실하게,0,0,1
llm-sense,consign,consign | Consign,consign,15182,33012,위탁하다 / 맡기다 / 탁송하다,위탁하다 / 동의하다 / …을 넘기다,2,0,1
llm-proper,continental,continental | Continental,Continental,30107,2106,① 대륙의 ② (미국 독립전쟁 당시의) 식민지의 ③ 유럽 대륙의,대륙의 / 유럽의 / 컨티넨탈,0,2,60
llm-sense,cost,cost | Cost,cost,205,29825,비용 / 들다 / 가격 / 얼마이다 / 경비,잃게하다,2,0,1
llm-sense,counter-productive,Counter-productive | counter-productive,counter-productive,48875,9395,역효과를 낳는,역효과가 나타나는,0,0,1
llm-sense,crown,crown | Crown,crown,4681,30361,수관 / 크라운 (기공물),① 왕관 ② 크라운 ③ 관 ④ 국왕,2,0,1
llm-sense,crude,crude | Crude,crude,2594,36257,천연 그대로의 / 조잡한 / 거친,품위없는,2,0,1
llm-sense,customer,customer | Customer,customer,3246,45797,고객 / 소비자 / 단골 / 손님,손님 / 고객 / 거래처,2,0,1
llm-sense,cv,cv | CV,cv,36334,45438,항공모함의 함종별 기호 / 이력서,케이블의 종류,0,0,1
llm-proper,dan,dan | Dan,Dan,50165,42077,이름,단,0,2,3
llm-proper,daniel,daniel | Daniel,Daniel,50117,16217,이름,다니엘 / 다니엘서 / 명재판관,0,1,8
llm-proper,danny,danny | Danny,Danny,50021,45021,이름,대니,0,0,1
llm-proper,daphne,daphne | Daphne,Daphne,50094,47320,이름,다프네 / 서향 / 서향속의 총칭,0,0,1
llm-sense,daunt,daunt | Daunt,daunt,8972,48570,기가 죽다 / 겁 / 억제 / 위축,-를 위압하다 으르다,1,0,1
llm-proper,dave,dave | Dave,Dave,50213,34608,이름,남자 이름,0,0,1
llm-proper,david,david | David,David,29975,10616,① 데이빗 ② 다비드 ③ 다윗 / 데이빗( 다윗 ) / 이름,데이빗 / 다윗 / 다비드,0,0,6
llm-proper,dean,dean | Dean,Dean,50245,12894,이름,딘 / 학장 / 원장 / 처장,0,0,58
llm-sense,december,december | December,december,8030,16716,12월 / 4분기 / 섣달,12월 / 석달,0,0,6
llm-sense,declaration,declaration | Declaration,declaration,842,28031,선언 / 발표 / 포고 / 주장 / 성명 / 신고,신고 / 고백 / 성명서 / ① 선언 ② 신고 ③ 포고,2,0,2
llm-sense,delegate,delegate | Delegate,delegate,7357,33010,대표 / 대의원 / 위임하다 / 사절,대표 / 대리자 / 대의원,2,0,1
llm-proper,dependent,dependent | Dependent,Dependent,30291,2243,① 의존하는 ② 의지하는 ③ 종속의 ④ 부양 가족,의존하는 / 종속의 / 부양 가족 / 의지하는,0,2,149
llm-sense,depreciation,depreciation | Depreciation,depreciation,9859,45585,감가상각 / 절하 / 약세 / 가치 하락 / 저감 / 자산 가치 감소,저하 / 화폐의 구매력 저하 / 경시,2,0,1
llm-sense,determined,determined | Determined,determined,2538,37469,결정된 / 결심한 / 생각 / 결의 / 의지,단호한,2,0,1
llm-proper,diana,diana | Diana,Diana,50161,25969,이름,다이애나 / 다이아나 / 디아나,0,0,1
llm-proper,diane,diane | Diane,Diane,50073,45356,이름,여자 이름,0,0,1
llm-sense,diastole,diastole | Diastole,diastole,24042,44553,심확장 / 심이완 / 음절 연장,심장]이완기 / 확장기,0,0,1
llm-sense,director,director | Director,director,1290,40180,관리자 / 감독,이사,2,0,1
llm-sense,disconcert,disconcert | Disconcert,disconcert,20545,32994,…을 당황하게 하다 / 혼란시키다 / 교란시키다,…을 당황하게 하다 / 교란시키다 / 침착성을 잃게 하다,0,0,1
llm-sense,dismember,dismember | Dismember,dismember,16526,33007,해체하다 / 분할하다 / 업무를 축소하다,분할하다 / 업무를 축소하다 / …의 팔다리를 잘라버리다,0,0,1
llm-proper,don,don | Don,Don,50129,5498,이름,명사 / 거물 / 입다,0,1,50
llm-sense,draining,Draining | draining,draining,28159,9396,배수,지겨운 / 지루한,0,0,1
llm-sense,drawback,drawback | Drawback,drawback,10594,28028,결점 / 단점 / 결함,문제점,2,0,1
llm-sense,drowsiness,drowsiness | Drowsiness,drowsiness,10653,29796,졸음 / 기면 상태,졸림,0,0,1
llm-sense,dutch,dutch | Dutch,dutch,2475,30020,네덜란드의 / 네덜란드인 / 네덜란드어 / 독일의,① 네덜란드의 ② 네덜란드인 ③ 네덜란드어 ④ 독일의 / 네덜란드의 / 네덜람드 사람,0,0,4
llm-sense,eastern,eastern | Eastern,eastern,1959,36591,동부의 / 동쪽의 / 동양의 / 동구의,동양의 / 동쪽에 위치한,2,0,1
llm-sense,eccentricity,eccentricity | Eccentricity,eccentricity,21506,28009,별남 / 기행 / 비정상,편심,2,0,1
llm-sense,economic,economic | Economic,economic,305,15620,경제의 / 경기의,경제학의 / 생산 경제의,2,0,1
llm-proper,eddie,eddie | Eddie,Eddie,50105,35867,이름,남자 이름,0,0,1
llm-proper,edward,edward | Edward,Edward,50229,28442,이름,남자 이름 / 에드워드,0,0,3
llm-sense,electronic,electronic | Electronic,electronic,2269,37430,전자의 / 전자기기 / 전자 장치 / 전자 부품 / 일렉트로닉,전기제품 / 전기기기등,2,0,1
llm-sense,electronics,electronics | Electronics,electronics,16522,27767,전자 기술 / 전자 기기,전자제품,1,0,1
llm-sense,encapsulation,encapsulation | Encapsulation,encapsulation,31170,45291,요약 / 응축,캡슐화,0,0,1
llm-sense,endangered,endangered | Endangered,endangered,8000,37416,멸종 위기의 / 위험한,위험에 빠진,1,0,1
llm-sense,english,english | English,english,341,34123,영문학 / 영어 / 영국인 / 영국의 / 잉글랜드인,1. 영국인  2. 영어  3. 영문학  4. 영국의 / 영어 / 잉글랜드인 / 잉글랜드어 / 영어의 / 영국인,2,0,5
llm-sense,englishness,Englishness | englishness,englishness,47234,39089,영국적 특징 / 영국다움,영국(사람)다움 / 영국(사람)식,0,0,1
llm-proper,eric,eric | Eric,Eric,50054,28872,이름,에릭 / 살인범 및 그 친척이 희생자의 가족에게 지불한 벌금,0,0,1
llm-proper,erica,Erica | erica,Erica,30186,49314,① 여자 이름 ② 에리카 / 중복,여자 이름 / 에리카,0,0,1
llm-proper,ethan,ethan | Ethan,Ethan,50000,48597,이름,남자 이름,0,0,1
llm-proper,ethnic,ethnic | Ethnic,Ethnic,36118,2468,민족의,민족의 / 혈통의 / 종족 / 인종의,0,2,211
llm-proper,eurasia,eurasia | Eurasia,Eurasia,34119,31449,유라시아 / 구아(歐亞) [유럽과 아시아를 일체로 본 명칭,유라시아 / 유라시아 대륙,0,0,1
llm-proper,europe,europe | Europe,Europe,34118,5336,유럽 / 구주(歐洲),유럽 / 유럽 대륙 / 유럽 연합 / 구라파 / 유럽 공동 시장,0,2,23
llm-proper,european,european | European,European,16737,320,유럽의 / 유렵의 / 유럽적인|유럽의|유럽사람 / 유럽인,유럽의,0,0,15
llm-sense,exactly,exactly | Exactly,exactly,1366,4863,정확히 / 바로 / 그렇소 / 딱 / 확실히,맞아 그거야,2,0,1
llm-sense,excel,excel | Excel,excel,12582,29835,탁월하다,뛰어나다,2,0,1
llm-sense,excitedly,excitedly | Excitedly,excitedly,30628,37477,흥분하여 / 기를 쓰고 / 격하여,흥분하게,0,0,1
llm-sense,exploit,exploit | Exploit | exploit | exploit,exploit,1875,"29797,52386,52469",이용하다 / 활용하다 / 착취하다 / 업적 / 묘기,착취하다 / 이용하다 / 개발하다,3,0,3
llm-sense,explore,explore | Explore,explore,602,48226,탐구하다 / 탐험하다 / 연구하다 / 개척하다 / 파헤치다 / 강구하다 / 둘러보다 / 탐색하다 / 발견하다 / 조사하다,탐험하다 / 답사하다,2,0,1
llm-sense,false,false | FALSE,false,2250,47620,거짓의 / 허위인 / 잘못하여 / 틀린 / 부정의 / 가짜의,틀린 / 사실이 아닌 / 거짓의 / 가짜의,2,0,1
llm-sense,fixture,fixture | Fixture,fixture,10180,28007,고정적인 요소 / 설비 / 고정물,고정용 보조기구,2,0,1
llm-sense,flippers,flippers | Flippers,flippers,35352,37424,오리발,지느러미발,0,0,1
llm-sense,fluctuation,fluctuation | Fluctuation | fluctuation,fluctuation,6781,"29806,52371",동요 / 변동 / 파동,변동 / 오르내림,0,0,2
llm-sense,fortunately,fortunately | Fortunately,fortunately,7017,30272,다행히 / 운좋게,① 다행히 ② 운좋게 / 운 좋게도 / 다행스럽게도,1,0,2
llm-sense,framework,framework | Framework | framework,framework,14237,"29942,52425",체제 / 근거 / 틀 / 구조,① 틀 ② 체제 ③ 근거 ④ 구조 / 틀 / 구조 / 체계,1,0,2
llm-sense,frustrate,frustrate | Frustrate | frustrate,frustrate,6925,"36169,52470",좌절시키다 / 실망시키다 / 짜증나는 / 화나게 하다 / 안타까운,좌절시키다 / 방해하다,2,0,2
llm-sense,frustrated,frustrated | Frustrated,frustrated,5020,29800,낙담한 / 좌절된 / 욕구 불만의 / 좌절한 / 짜증난,불만스러운,2,0,1
llm-sense,funny,funny | Funny,funny,2002,35669,재미있는 / 웃기는 / 이상한 / 농담조의 / 유쾌한,즐거운 / 재미있는,2,0,2
llm-sense,further,further | Further,further,943,40184,더 / 더 나아가 / 더 멀리 / 그 이상의 / 게다가,뿐만 아니라 / 게다가,2,0,1
llm-sense,given,given | Given,given,2366,30609,주어진 / 받은 / 감안하면 / 얻은 / 실시된,~을 고려해 볼 때,2,0,1
llm-sense,granted,granted | Granted,granted,12943,33483,당연히 / 허가 / 부여된 / 받은 / 승인,~말한대로이긴 하지만 / 인정하기는 하지만,2,0,2
llm-sense,grateful,grateful | Grateful | grateful,grateful,1229,"37468,51969",감사하는 / 고마운,감사하는 / 고마워하는,2,0,2
llm-proper,gwen,gwen | Gwen,Gwen,50204,28814,이름,여자 이름,0,0,1
llm-sense,hail,hail | Hail,hail,6091,29852,출신 / 환영하다 / 찬양 / 인정받다 / 부르다 / 우박 / 우박이 내리다,일컫다,2,0,1
llm-sense,halloween,halloween | Halloween,halloween,12309,34739,할로윈 / 핼러윈,핼 로 윈 / 할로윈 / 핼로윈 / 할로인 / 할로윈데이,0,0,6
llm-proper,hank,hank | Hank,Hank,50201,39151,이름,타래 / 한 타래분의 길이 / 남자 이름,0,0,1
llm-sense,happy,happy | Happy,happy,5,47937,행복한 / 기쁜 / 만족한 / 즐거운 / 축하하다,기분이 좋다,2,0,1
llm-sense,hardly,hardly | Hardly,hardly,4835,36255,거의 …할 것 같지 않다 / 거의 …아니다 / 가혹하게 / …하기 어렵다 / 거의 ~않다,거의....않다 / 거의 아니다,2,0,2
llm-proper,helena,helena | Helena,Helena,50252,28630,이름,여자 이름 / 헬레나,0,0,1
llm-proper,henry,henry | Henry,Henry,50085,10356,이름,헨리 / 남자 이름,0,0,2
llm-sense,herald,herald | Herald,herald,13261,30280,헤럴드 / 알리다 / 신문 / 전령 / 예고,① 왕의 사자 ② …을 보도하다 ③ 의전관,2,0,1
llm-proper,hilda,hilda | Hilda,Hilda,50167,28398,이름,여자 이름,0,0,1
llm-sense,hindu,hindu | Hindu,hindu,33692,36600,힌두교의 / 힌두인 / 힌두의,힌두교의 / 힌두교 신자,0,0,2
llm-proper,hispanic,hispanic | Hispanic,Hispanic,33859,13173,(특히 미국이나 케나다에 사는) 라틴아메리카 계의 사람들,히스패닉계의 / 라틴 아메리카계 사람 / 라틴 아메리카의,0,1,10
llm-sense,hit,hit | Hit,hit,191,37344,치다 / 히트를 치다 / 타격 / 달하다 / 부딪히다,때리다,2,0,1
llm-sense,hollywood,hollywood | Hollywood,hollywood,4809,30021,할리우드 / 미국 영화,① 할리우드 ② 영화 산업의 중심지 ③ 미국 영화계 / 헐리우드,0,0,2
llm-proper,homer,homer | Homer,Homer,49997,29279,이름,홈런을 치다 / 전서구 / 고대 그리스의 시인,0,1,10
llm-sense,homogeneous,homogeneous | Homogeneous,homogeneous,13951,28027,불변의 / 동종의 / 순일의 / 동원의 / 동질적인,동종의 / 동일한 / 같은 제품의[형용사,2,0,1
llm-sense,id,id | ID,id,35698,40897,신분증 / 이드 / 특수 원형질 / 알레르기성 피부진,신문증,0,0,1
llm-sense,illustrate,illustrate | Illustrate | illustrate,illustrate,1769,"29856,52159",설명하다 / 삽화를 넣다 / 예시하다,분명히 보여주다 / 삽화를 넣다 / 설명하다,2,0,2
llm-proper,imposter,imposter | Imposter,Imposter,48566,16506,사기꾼 협잡꾼 남의 이름을 사칭하는자,사칭하는 사람 / 사기꾼,0,0,23
llm-sense,indecisive,indecisive | Indecisive,indecisive,11983,36250,우유부단한 / 승패가 나지 않은,결단력이 없는,2,0,1
llm-sense,individually,individually | Individually,individually,8408,34552,개별적으로 / 개인적으로 / 하나하나 / 각자에게,개인으로 / 개별적으로,2,0,1
llm-sense,insalvageable,insalvageable | INSALVAGEABLE,insalvageable,39066,40115,구해낼수 있는,구해낼 수 없는,0,0,1
llm-sense,internet,internet | Internet,internet,5286,35054,인터넷,인터넷 / 웹사이트,2,0,3
llm-sense,inviting,inviting | Inviting,inviting,9035,29816,초대하는 / 유혹적인 / 솔깃한,매력적인,1,0,1
llm-proper,irredentism,Irredentism | irredentism,Irredentism,30096,32600,① 민족 통일주의 ② 이레덴티즘 ③ 19세기 말부터 제1차 세계 대전 때까지 전개되었음,민족 통일주의 / 이레덴티즘,0,0,1
llm-proper,isaac,isaac | Isaac,Isaac,50089,31645,이름,아이작 / 아이잭 / 이사악 / 아이삭,0,0,2
llm-sense,isolate,isolate | Isolate,isolate,1497,43940,분리하다 / 고립시키다 / 격리하다 / 소외시키다 / 축출되다,고립(분리)시키다,2,0,1
llm-sense,israelite,israelite | Israelite,israelite,27279,41013,하나님의 선민 / 야곱의 자손 / 고대 이스라엘,이스라엘인 / 이스라엘 어,0,0,1
llm-sense,issue,issue | Issue,issue,241,30822,지급하다 / 발표하다 / 문제 / 쟁점 / 이슈 / 사안 / 발행하다 / 발급하다 / 문제사안 / 발행,문제점 / 잡지의 호,2,0,1
llm-sense,it,it | IT,it,3560,37337,그것 / 이것 / 그런,정보기술,2,0,1
llm-sense,italy,italy | Italy,italy,7958,35583,이탈리아,이탈리아 / 이태리,0,0,3
llm-proper,jackson,jackson | Jackson,Jackson,50251,28632,이름,잭슨 / 남자 이름,0,0,1
llm-proper,james,james | James,James,50033,8575,이름,제임스 / 야고보,0,0,9
llm-proper,jamie,jamie | Jamie,Jamie,49982,36265,이름,남자 이름,0,0,1
llm-proper,jane,jane | Jane,Jane,49384,10598,제인 / 이름,처녀 / 여자 / 여자 이름,0,0,6
llm-proper,jennifer,jennifer | Jennifer,Jennifer,50071,45357,이름,제니퍼,0,0,1
llm-proper,jenny,jenny | Jenny,Jenny,49999,28452,이름,암컷 / 방적기 / 여자 이름,0,0,5
