lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,extra_candidates
alveoloplasty,alveoloplasty#51647 | alveoloplasty#51779,,alveoloplasty,51647,51779,치조성형술,"[{""mid"": 132011, ""text"": ""뿌리 절제술""}]"
amanda,amanda#47935 | Amanda#50217,Y,Amanda,50217,47935,이름,"[{""mid"": 123666, ""text"": ""아만다""}, {""mid"": 123667, ""text"": ""어맨다""}]"
amazing,amazing#2066 | Amazing#36165,,amazing,2066,36165,흥미로운 / 놀라운 / 엄청난 / 대단한 / 멋진,"[{""mid"": 98569, ""text"": ""놀랄만한.  굉장한""}]"
ambiguous,ambiguous#11373 | ambiguous#52380,,ambiguous,11373,52380,애매모호한 말의 / 중의적인 / 불분명한 / 아리송한 / 모호한 / 애매한,"[{""mid"": 134071, ""text"": ""두 가지 해석이 가능한""}]"
ambition,ambition#1433 | Ambition#48243,,ambition,1433,48243,꿈 / 포부 / 욕심 / 야망 / 야심,"[{""mid"": 124301, ""text"": ""목표""}]"
american,american#338 | American#33984,Y,American,33984,338,미국 어 / 1. 미국의; 미국인의  2. 북(남) 아메리카의 / 미국의 / 미국인 / 미국의│미국인의│미국인,"[{""mid"": 969, ""text"": ""미국적인""}, {""mid"": 972, ""text"": ""아메리칸""}]"
anna,anna#27459 | Anna#50090,Y,Anna,50090,27459,이름,"[{""mid"": 80124, ""text"": ""안나""}, {""mid"": 80125, ""text"": ""인도""}, {""mid"": 80126, ""text"": ""파키스탄""}, {""mid"": 80127, ""text"": ""미얀마의 옛 화폐""}]"
annually,annually#15168 | annually#52184 | annually#52225 | annually#52273,,annually,15168,"52184,52225,52273",매년 / 한해에 / 연간,"[{""mid"": 133770, ""text"": ""해마다""}]"
apexification,apexification#51614 | apexification#51730,,apexification,51614,51730,근관증,"[{""mid"": 131969, ""text"": ""뿌리 말단 형성""}]"
apicoectomy,apicoectomy#51615 | apicoectomy#51742,,apicoectomy,51615,51742,아치와이어 조정,"[{""mid"": 131980, ""text"": ""뿌리 단순적출술""}]"
apollo,apollo#25779 | Apollo#34011,,apollo,25779,34011,아폴로 / 태양 / 빛·음악·시·예언·남성미의 신,"[{""mid"": 93937, ""text"": ""1. [그리스""}, {""mid"": 93939, ""text"": ""아폴론  2. 미모의 청년""}]"
apple,apple#3799 | Apple#36222 | apple#51960,,apple,3799,"36222,51960",사과나무 / 사과 / 애플,"[{""mid"": 133432, ""text"": ""과일의 일종""}]"
appreciably,appreciably#19388 | appreciably#52039,,appreciably,19388,52039,뚜렷하게 / 상당히 / 상당하게,"[{""mid"": 133565, ""text"": ""눈에 띄게""}]"
arabic,arabic#22036 | Arabic#36189,,arabic,22036,36189,아랍어,"[{""mid"": 98619, ""text"": ""아랍의""}]"
arbitrary,arbitrary#2333 | arbitrary#52381,,arbitrary,2333,52381,제멋대로의 / 독단적인 / 임의의,"[{""mid"": 134072, ""text"": ""임의적인""}]"
archly,archly#39383 | Archly#48572,,archly,39383,48572,능글맞게 / 익살맞게 / 짖궂게,"[{""mid"": 124836, ""text"": ""짖궃게 교활하게""}]"
arctic,arctic#16306 | Arctic#29932,,arctic,16306,29932,북극의 / 극지방,"[{""mid"": 94876, ""text"": ""극한의""}]"
arteriole,arteriole#44460 | Arteriole#44560,,arteriole,44460,44560,소동맥,"[{""mid"": 116691, ""text"": ""동맥의""}]"
as,as#1364 | As#45597,,as,1364,45597,…하면서 / …처럼 / …으로서,"[{""mid"": 118784, ""text"": ""\""~만큼\""""}, {""mid"": 118785, ""text"": ""\""~와 같을 정도로\""""}, {""mid"": 118786, ""text"": ""\""~이므로\""""}, {""mid"": 118787, ""text"": ""\""~때에\""""}, {""mid"": 118788, ""text"": ""\""~로써\""""}]"
asa,asa#35902 | Asa#50212,Y,Asa,50212,35902,이름,"[{""mid"": 98106, ""text"": ""필름 감도 기준""}, {""mid"": 98108, ""text"": ""미국 표준 협회""}]"
asian,asian#2059 | Asian#34002,Y,Asian,34002,2059,아시아의 / 아시아 사람 / 1. 아시아의  2. 아시아인  3. 동양인,"[{""mid"": 9646, ""text"": ""아시안""}]"
aspiring,aspiring#8859 | aspiring#52075,,aspiring,8859,52075,포부가 있는 / 상승하는 / 큰 뜻을 품은,"[{""mid"": 133620, ""text"": ""장차 ~가 되려는""}]"
ass,ass#9664 | ASS#45425,,ass,9664,45425,구하다 / 골칫거리 / 바보 / 엉덩이 / 걷어 차다,"[{""mid"": 118415, ""text"": ""자동고장부분 개폐기""}]"
assess,assess#1744 | assess#52023 | assess#52401,,assess,1744,"52023,52401",사정하다 / 산정 / 예측 / 평가 / 평가하다 / 분석하다 / 검토 / 부과하다 / 결정,"[{""mid"": 133539, ""text"": ""가늠하다""}]"
assuage,assuage#11029 | Assuage#33003,,assuage,11029,33003,완화시키다 / 달래다 / 누그러뜨리다 / 진정시키다,"[{""mid"": 91878, ""text"": ""채우다""}]"
atlantic,atlantic#10219 | Atlantic#33900,Y,Atlantic,33900,10219,대서양의 / 대서양; 대서양의 / 아틀라스 산맥의 / 대서양 / 1. 대서양(상)의  2. 대서양 연안의,"[{""mid"": 33796, ""text"": ""아틀란틱""}]"
attrite,Attrite#28024 | attrite#39745,,attrite,39745,28024,마멸된,"[{""mid"": 81273, ""text"": ""마모된""}]"
australian,australian#2455 | Australian#33996,,australian,2455,33996,오스트레일리아의 / 오스트레일리아 사람,"[{""mid"": 93915, ""text"": ""1. 호주의   2. 호주 사람""}, {""mid"": 97165, ""text"": ""호주의""}, {""mid"": 97166, ""text"": ""호주인""}, {""mid"": 99507, ""text"": ""호주 사람""}, {""mid"": 99508, ""text"": ""호주 언어""}, {""mid"": 109302, ""text"": ""호주 어""}]"
austrian,Austrian#33994 | austrian#34726,,austrian,34726,33994,오스트리아 학파의 경제학자 / 오스트리아 학파의 / 오스트리아의,"[{""mid"": 93913, ""text"": ""오스트리아인""}]"
authentic,authentic#6310 | authentic#52420,,authentic,6310,52420,진정한 / 진짜의 / 실제의 / 믿을 만한,"[{""mid"": 134147, ""text"": ""진본인""}]"
autograph,autograph#7819 | Autograph#48407,,autograph,7819,48407,서명(하다) / 사인 / 사인(하다) / 서명,"[{""mid"": 124633, ""text"": ""자서전""}]"
autonomy,autonomy#10260 | autonomy#52211 | autonomy#52253 | autonomy#52301,,autonomy,10260,"52211,52253,52301",자주성,"[{""mid"": 133805, ""text"": ""자율성""}]"
baltic,baltic#25836 | Baltic#33974,,baltic,25836,33974,혹한의 / 발트 어파 / 발트 해의,"[{""mid"": 93979, ""text"": ""발트 해(연안)의""}]"
banking,banking#26896 | Banking#27788,,banking,26896,27788,바탕 / 은행의 / 뱅킹 / 금융 / 은행업 / 금융업,"[{""mid"": 80833, ""text"": ""은행거래""}]"
become,become#137 | Become#48242,,become,137,48242,~이 되다 / 어울리다 / …이 되다 / …해지다,"[{""mid"": 124300, ""text"": ""목표""}]"
before,before#3777 | Before#45605,,before,3777,45605,~전에 / 앞에 / 전 / 적 / 이전에,"[{""mid"": 118806, ""text"": ""앞쪽에""}, {""mid"": 118807, ""text"": ""앞서서""}]"
beguile,beguile#20294 | Beguile#33017,,beguile,20294,33017,현혹시키다 / 달래다 / 속이다 / 기만하다 / 심심풀이하다,"[{""mid"": 91920, ""text"": ""속여서 빼앗다""}]"
benefit,benefit#957 | benefit#52324,,benefit,957,52324,급여 / 이익 / 혜택 / 도움이 되다,"[{""mid"": 133966, ""text"": ""이득이 되다""}]"
berlin,berlin#25861 | Berlin#33967,,berlin,25861,33967,베를린 / 독일의 수도,"[{""mid"": 93963, ""text"": ""통일 전에는 시가지가 동""}, {""mid"": 93964, ""text"": ""서독으로 양분되어 있었다.)""}]"
bias,bias#11518 | bias#52421,,bias,11518,52421,편견 / 치우침 / 편파적인 / 성향,"[{""mid"": 134149, ""text"": ""편향""}, {""mid"": 134150, ""text"": ""선입견""}]"
billing,billing#12947 | Billing#27784,,billing,12947,27784,광고에 소요된 경비 / 게시 / 순위,"[{""mid"": 80829, ""text"": ""청구""}]"
bobby,bobby#30501 | Bobby#50233,Y,Bobby,50233,30501,이름,"[{""mid"": 86203, ""text"": ""경찰관""}]"
bonded,bonded#18204 | Bonded#28030,,bonded,18204,28030,공채에 의해 보증된 / 공채가 붙은 / 특수 접착제로 접착시킨,"[{""mid"": 81283, ""text"": ""보세""}]"
boston,boston#28628 | Boston#49985,Y,Boston,49985,28628,미국 도시 이름,"[{""mid"": 82687, ""text"": ""보스턴""}, {""mid"": 82688, ""text"": ""보스턴 왈츠""}]"
boulevard,boulevard#10274 | Boulevard#48391,Y,Boulevard,48391,10274,(가로수가 늘어선 도시의) 도로,"[{""mid"": 33950, ""text"": ""대로""}, {""mid"": 33951, ""text"": ""넓은 가로수 길""}, {""mid"": 33952, ""text"": ""큰 길""}]"
boundless,boundless#12838 | boundless#52174,,boundless,12838,52174,드넓은 / 무한한 / 경계가 없는,"[{""mid"": 133757, ""text"": ""끝없는""}]"
brad,Brad#50075 | brad#50882,Y,Brad,50075,50882,이름,"[{""mid"": 130416, ""text"": ""영국 British Rate and Data의 줄임말""}]"
brady,brady#30567 | Brady#50062,Y,Brady,50062,30567,이름,"[{""mid"": 86361, ""text"": ""「더딘」 「둔한」 「짧은」 「천천히」의 뜻""}]"
brandish,brandish#6342 | Brandish#33000,,brandish,6342,33000,휘두르기 / …을 과시하다 / 휘두르다,"[{""mid"": 91869, ""text"": ""바싹 당기다""}]"
brazilian,brazilian#10603 | Brazilian#41035,,brazilian,10603,41035,브라질인 / 브라질의,"[{""mid"": 109311, ""text"": ""브라질 어""}]"
breathtaking,breathtaking#12017 | breathtaking#52175,,breathtaking,12017,52175,숨이 멎을만큼 놀라운 / 깜짝 놀랄 만한 / 아슬아슬한,"[{""mid"": 133758, ""text"": ""숨이 막히는""}]"
british,british#286 | British#34986,,british,286,34986,영국의 / 영연방의,"[{""mid"": 96244, ""text"": ""영국사람""}, {""mid"": 99491, ""text"": ""영국인의""}, {""mid"": 100322, ""text"": ""영국인""}, {""mid"": 109216, ""text"": ""영국 어""}]"
brown,brown#2007 | Brown#50207,Y,Brown,50207,2007,이름,"[{""mid"": 8295, ""text"": ""브라운""}, {""mid"": 8296, ""text"": ""갈색""}]"
brutal,brutal#7404 | Brutal#29851,,brutal,7404,29851,야만적인 / 잔인한 / 무자비한 / 폭력적인,"[{""mid"": 85257, ""text"": ""잔혹한""}]"
buddhist,buddhist#2724 | Buddhist#37332,,buddhist,2724,37332,부처의 / 불교도 / 불교의,"[{""mid"": 101087, ""text"": ""불교신자""}]"
burden,burden#674 | Burden#47599,,burden,674,47599,책임 / 가중되다 / 짐 / 부담 / 부담감,"[{""mid"": 122909, ""text"": ""귀찮은일""}, {""mid"": 122911, ""text"": ""귀찮은""}, {""mid"": 122912, ""text"": ""요지""}]"
cadence,cadence#16439 | cadence#52147,,cadence,16439,52147,운율 / 억양 / 리듬,"[{""mid"": 133720, ""text"": ""박자""}]"
cajole,cajole#17271 | Cajole#32999,,cajole,17271,32999,아첨하다 / 감언으로 꾀다 / 감언이설로 속이다,"[{""mid"": 91865, ""text"": ""부추겨서 하게 하다""}, {""mid"": 91866, ""text"": ""그만두게 하다""}]"
calcification,calcification#51645 | calcification#51697,,calcification,51645,51697,석회화,"[{""mid"": 83062, ""text"": ""낭종""}]"
caleb,caleb#32008 | Caleb#50219,Y,Caleb,50219,32008,이름,"[{""mid"": 89659, ""text"": ""갈렙""}]"
canadian,canadian#1314 | Canadian#36192,,canadian,1314,36192,캐나다의 / 캐나다 사람,"[{""mid"": 101005, ""text"": ""캐나다인""}]"
capillary,capillary#17530 | Capillary#44558,,capillary,17530,44558,모세관 / 모세관의 / 모세관 현상의,"[{""mid"": 116689, ""text"": ""모세혈관""}]"
capitol,capitol#7532 | Capitol#35142,,capitol,7532,35142,미국 국회 의사당 / 수도,"[{""mid"": 96444, ""text"": ""연방 의회 의사당""}]"
cariogenic,cariogenic#51640 | cariogenic#51772,,cariogenic,51640,51772,유치,"[{""mid"": 132004, ""text"": ""치근성""}]"
carnival,carnival#9310 | Carnival#9491,,carnival,9310,9491,전시회 / 난장판 / 축제 / 카니발,"[{""mid"": 31621, ""text"": ""사육제""}]"
caroline,caroline#28399 | Caroline#49959,Y,Caroline,49959,28399,이름,"[{""mid"": 82133, ""text"": ""영국 왕 찰스 1""}, {""mid"": 82134, ""text"": ""2세의""}]"
carter,carter#41407 | Carter#49962,Y,Carter,49962,41407,이름,"[{""mid"": 110076, ""text"": ""카터""}]"
catholic,catholic#2363 | Catholic#36482,,catholic,2363,36482,천주교의 / 가톨릭교도 / 가톨릭 교회의,"[{""mid"": 99222, ""text"": ""가톨릭교의""}]"
centerpiece,centerpiece#13802 | centerpiece#52241 | centerpiece#52289,,centerpiece,13802,"52241,52289",중심부 장식 / 핵심 / 중심물 / 중심적 존재,"[{""mid"": 133845, ""text"": ""중심 요소""}]"
chat,chat#478 | Chat#36163,,chat,478,36163,채팅하다 / 메시지 / 채팅 / 이야기하다 / 대화하다 / 수다떨다,"[{""mid"": 98567, ""text"": ""잡담하다. 잡담""}]"
chinese,chinese#2226 | Chinese#35337,,chinese,2226,35337,중국의 / 중국어 / 중국인 / 중국 사람,"[{""mid"": 101023, ""text"": ""중국식""}]"
chloe,chloe#14534 | Chloe#50045,Y,Chloe,50045,14534,이름,"[{""mid"": 45963, ""text"": ""클로에""}, {""mid"": 45964, ""text"": ""전원시에 나오는 양치는 소녀""}]"
circumvent,circumvent#11638 | Circumvent#33016,,circumvent,11638,33016,"포위하다 / 사기 치다 / 일주하다 / …을 포위하다 / 우회하다 / (불법적으로, 교묘하게) 피하다","[{""mid"": 91916, ""text"": ""교묘히 회피하다""}]"
civic,civic#20876 | Civic#30130,Y,Civic,30130,20876,① 시민의 ② 민간 ③ 도시의 ④ 시빅,"[{""mid"": 139139, ""text"": ""시민적""}]"
clarify,clarify#866 | clarify#52458,,clarify,866,52458,명확하게 하다 / 분명히 하다 / 명백히하다 / 밝히다 / 정화하다 / 확인하다 / 명확하게 / 분명해지다 / 명확히 하다,"[{""mid"": 134219, ""text"": ""분명히 말하다""}]"
close-knit,close-knit#36331 | close-knit#52021,,close-knit,36331,52021,긴밀하게 맺어진 / 유대가 긴밀한 / 긴밀히 맺어진 / 긴밀한 / 굳게 맺어진 / 긴밀한/굳게 맺어진,"[{""mid"": 133536, ""text"": ""밀접하게 맺어진""}]"
clot,clot#14159 | Clot#44555,,clot,14159,44555,응고시키다 / 미끈거리는 덩어리 / 응고하다,"[{""mid"": 116686, ""text"": ""피가]엉긴 덩어리""}]"
cloudy,cloudy#4593 | Cloudy#36234,,cloudy,4593,36234,구름의 / 구름이 낀 / 흐린 / 구름이 많은,"[{""mid"": 98673, ""text"": ""구름낀""}]"
cognitive,cognitive#2281 | cognitive#52346 | cognitive#52422,,cognitive,2281,"52346,52422",인식의 / 인지의 / 인식력 있는,"[{""mid"": 134007, ""text"": ""인지적인""}]"
coherent,coherent#2328 | coherent#52382,,coherent,2328,52382,일관적인,"[{""mid"": 134074, ""text"": ""일관성 있는""}, {""mid"": 134075, ""text"": ""논리 정연한""}]"
collaborate,collaborate#7360 | collaborate#52402,,collaborate,7360,52402,공동 작업하다 / 협동하다 / 협력하다 / 공동으로 하다,"[{""mid"": 134114, ""text"": ""공동으로 작업하다""}]"
collectively,collectively#10900 | Collectively#40183,,collectively,10900,40183,전체적으로 / 일괄하여 / 단결하여,"[{""mid"": 107471, ""text"": ""집합적으로""}]"
communist,communist#2215 | Communist#16736,,communist,2215,16736,공산주의의 / 공산당원,"[{""mid"": 51941, ""text"": ""공산주의자""}]"
compensate,compensate#1591 | compensate#52325 | compensate#52365,,compensate,1591,"52325,52365",보완하다 / 보상하다,"[{""mid"": 133968, ""text"": ""보충하다""}, {""mid"": 134041, ""text"": ""배상하다""}]"
complement,complement#1142 | complement#52133 | complement#52383,,complement,1142,"52133,52383",보완하다 / 전량,"[{""mid"": 134077, ""text"": ""보충물""}]"
composite,composite#6424 | Composite#30378,,composite,6424,30378,합성어 / 복합의,"[{""mid"": 86010, ""text"": ""① 합성의 ② 합성물 ③ 복합 재료""}]"
conclude,conclude#1766 | Conclude#29813,,conclude,1766,29813,체결하다 / 결론짓다 / 종결하다 / 맺다,"[{""mid"": 85219, ""text"": ""결론을내리다""}]"
condemn,condemn#1887 | condemn#52404,,condemn,1887,52404,규탄하다 / 유죄 판결을 내리다 / 비난하다 / 미워하다,"[{""mid"": 134117, ""text"": ""선고를 내리다""}]"
confinement,confinement#7314 | Confinement#29821,,confinement,7314,29821,속박 / 감금 / 유폐,"[{""mid"": 85227, ""text"": ""갇힘""}]"
confirm,confirm#228 | confirm#52405 | confirm#52442,,confirm,228,"52405,52442",확신하다 / 확인하다 / 확정하다 / 확실히 하다,"[{""mid"": 134188, ""text"": ""확증하다""}]"
conform,conform#506 | conform#52033,,conform,506,52033,따르다 / 일치하다,"[{""mid"": 133556, ""text"": ""순응하다""}]"
congratulation,congratulation#1395 | Congratulation#37645,,congratulation,1395,37645,축하의 말 / 축하하다,"[{""mid"": 101651, ""text"": ""축하해""}]"
congress,congress#1078 | Congress#30106,,congress,1078,30106,의회 / 회의,"[{""mid"": 101035, ""text"": ""국회""}]"
conscientiously,conscientiously#18504 | Conscientiously#29847,,conscientiously,18504,29847,성실히 / 양심적으로 / 소심하게,"[{""mid"": 85253, ""text"": ""성실하게""}]"
consign,consign#15182 | Consign#33012,,consign,15182,33012,탁송하다 / 맡기다 / 위탁하다,"[{""mid"": 91904, ""text"": ""동의하다""}, {""mid"": 91905, ""text"": ""…을 넘기다""}]"
constitute,constitute#1654 | constitute#52019 | constitute#52367,,constitute,1654,"52019,52367",나타내다 / 간주하다 / …에 해당하다 / 구성하다 / 제정하다,"[{""mid"": 133533, ""text"": ""~이 되다""}]"
context,context#6949 | context#52150 | context#52162,,context,6949,"52150,52162",문맥 / 주변 환경에 따른 조건 / 상황,"[{""mid"": 133723, ""text"": ""맥락""}]"
continental,continental#2106 | Continental#30107,Y,Continental,30107,2106,① 대륙의 ② (미국 독립전쟁 당시의) 식민지의 ③ 유럽 대륙의,"[{""mid"": 9827, ""text"": ""유럽의""}, {""mid"": 9828, ""text"": ""컨티넨탈""}]"
coordination,coordination#15346 | coordination#52025 | coordination#52048,,coordination,15346,"52025,52048",공동작용 / 동격 / 협동,"[{""mid"": 133542, ""text"": ""조정""}, {""mid"": 133543, ""text"": ""합동""}, {""mid"": 133544, ""text"": ""조화""}, {""mid"": 133583, ""text"": ""조절""}]"
correspond,correspond#1901 | correspond#52460,,correspond,1901,52460,해당하다 / 교신하다 / 일치하다,"[{""mid"": 134223, ""text"": ""서신을 주고받다""}]"
cost,cost#205 | Cost#29825,,cost,205,29825,비용 / 얼마이다 / 들다 / 경비 / 가격,"[{""mid"": 85231, ""text"": ""잃게하다""}]"
counter-productive,Counter-productive#9395 | counter-productive#48875,,counter-productive,48875,9395,역효과를 낳는,"[{""mid"": 31265, ""text"": ""역효과가 나타나는""}]"
critique,critique#17941 | critique#52201 | critique#52244 | critique#52292,,critique,17941,"52201,52244,52292",비평법 / 평론 / 비평,"[{""mid"": 133790, ""text"": ""비판""}]"
crown,crown#4681 | Crown#30361,,crown,4681,30361,크라운 (기공물) / 수관,"[{""mid"": 85989, ""text"": ""① 왕관 ② 크라운 ③ 관 ④ 국왕""}]"
crude,crude#2594 | Crude#36257,,crude,2594,36257,조잡한 / 천연 그대로의 / 거친,"[{""mid"": 98769, ""text"": ""품위없는""}]"
customer,customer#3246 | Customer#45797,,customer,3246,45797,손님 / 고객 / 단골 / 소비자,"[{""mid"": 119150, ""text"": ""거래처""}]"
cv,cv#36334 | CV#45438,,cv,36334,45438,이력서 / 항공모함의 함종별 기호,"[{""mid"": 118431, ""text"": ""케이블의 종류""}]"
dan,dan#42077 | Dan#50165,Y,Dan,50165,42077,이름,"[{""mid"": 111531, ""text"": ""단""}]"
daniel,daniel#16217 | Daniel#50117,Y,Daniel,50117,16217,이름,"[{""mid"": 50623, ""text"": ""다니엘""}, {""mid"": 50624, ""text"": ""다니엘서""}, {""mid"": 50625, ""text"": ""명재판관""}]"
danny,danny#45021 | Danny#50021,Y,Danny,50021,45021,이름,"[{""mid"": 117597, ""text"": ""대니""}]"
daphne,daphne#47320 | Daphne#50094,Y,Daphne,50094,47320,이름,"[{""mid"": 122336, ""text"": ""다프네""}, {""mid"": 122337, ""text"": ""서향""}, {""mid"": 122338, ""text"": ""서향속의 총칭""}]"
daunt,daunt#8972 | Daunt#48570,,daunt,8972,48570,겁 / 위축 / 기가 죽다 / 억제,"[{""mid"": 124833, ""text"": ""-를 위압하다 으르다""}]"
dean,dean#12894 | Dean#50245,Y,Dean,50245,12894,이름,"[{""mid"": 41598, ""text"": ""딘""}, {""mid"": 41599, ""text"": ""학장""}, {""mid"": 41600, ""text"": ""원장""}, {""mid"": 41601, ""text"": ""처장""}]"
december,december#8030 | December#16716,,december,8030,16716,12월 / 4분기 / 섣달,"[{""mid"": 119336, ""text"": ""석달""}]"
declaration,declaration#842 | Declaration#28031,,declaration,842,28031,선언 / 주장 / 발표 / 포고 / 성명 / 신고,"[{""mid"": 81285, ""text"": ""고백""}]"
definitely,definitely#4853 | definitely#52177,,definitely,4853,52177,반드시 / 완전히 / 확실하게 / 물론 / 분명히,"[{""mid"": 133761, ""text"": ""절대로""}]"
delegate,delegate#7357 | Delegate#33010,,delegate,7357,33010,대의원 / 대표 / 위임하다 / 사절,"[{""mid"": 91898, ""text"": ""대리자""}]"
dentinogenesis,dentinogenesis#51643 | dentinogenesis#51752,,dentinogenesis,51643,51752,치아형성,"[{""mid"": 131988, ""text"": ""치아 석회화 생성""}]"
depreciation,depreciation#9859 | Depreciation#45585,,depreciation,9859,45585,저감 / 절하 / 감가상각 / 약세 / 자산 가치 감소 / 가치 하락,"[{""mid"": 118682, ""text"": ""저하""}, {""mid"": 118683, ""text"": ""화폐의 구매력 저하""}, {""mid"": 118684, ""text"": ""경시""}]"
derive,derive#1782 | derive#52349 | derive#52406 | derive#52447,,derive,1782,"52349,52406,52447",나오다 / 얻다 / 기인하다,"[{""mid"": 134012, ""text"": ""끌어내다""}, {""mid"": 134013, ""text"": ""유래하다""}]"
determinate,determinate#21570 | determinate#52163,,determinate,21570,52163,확정적인 / 기지수의 / 한정된,"[{""mid"": 133743, ""text"": ""확실한""}]"
determined,determined#2538 | Determined#37469,,determined,2538,37469,의지 / 생각 / 결심한 / 결의 / 결정된,"[{""mid"": 101295, ""text"": ""단호한""}]"
diana,diana#25969 | Diana#50161,Y,Diana,50161,25969,이름,"[{""mid"": 76350, ""text"": ""다이애나""}, {""mid"": 76351, ""text"": ""다이아나""}, {""mid"": 76352, ""text"": ""디아나""}]"
diastole,diastole#24042 | Diastole#44553,,diastole,24042,44553,음절 연장 / 심이완 / 심확장,"[{""mid"": 116683, ""text"": ""심장]이완기""}, {""mid"": 116684, ""text"": ""확장기""}]"
diminish,diminish#444 | diminish#52384 | diminish#52423 | diminish#52464,,diminish,444,"52384,52423,52464",완화되다 / 낮아지다 / 줄어들다 / 사라지다 / 감소하다,"[{""mid"": 134079, ""text"": ""감소시키다""}, {""mid"": 134154, ""text"": ""줄이다""}, {""mid"": 134231, ""text"": ""약화시키다""}]"
diminishing,diminishing#27967 | diminishing#52010,,diminishing,27967,52010,점감하는,"[{""mid"": 133519, ""text"": ""줄어드는""}, {""mid"": 133520, ""text"": ""감소하는""}]"
director,director#1290 | Director#40180,,director,1290,40180,감독 / 관리자,"[{""mid"": 107467, ""text"": ""이사""}]"
disclosure,disclosure#8332 | disclosure#52206 | disclosure#52249 | disclosure#52297,,disclosure,8332,"52206,52249,52297",발표 / 공시 / 폭로 / 발각 / 공개,"[{""mid"": 133798, ""text"": ""드러냄""}]"
disconcert,disconcert#20545 | Disconcert#32994,,disconcert,20545,32994,…을 당황하게 하다 / 혼란시키다 / 교란시키다,"[{""mid"": 91851, ""text"": ""침착성을 잃게 하다""}]"
discourse,discourse#15136 | discourse#52036,,discourse,15136,52036,말하다 / 논설 / 담화 / 토론 / 담론,"[{""mid"": 133561, ""text"": ""강연""}]"
dismember,dismember#16526 | Dismember#33007,,dismember,16526,33007,업무를 축소하다 / 해체하다 / 분할하다,"[{""mid"": 91890, ""text"": ""…의 팔다리를 잘라버리다""}]"
