58317	extended	The accounting department works <strong class="target-word">extended</strong> hours on the first week of every month.
58318	accidentally	Alison <strong class="target-word">accidentally</strong> made some errors in the financial statements.
58319	advisable	It is <strong class="target-word">advisable</strong> to update computer equipment regularly.
58320	concerned	Management is <strong class="target-word">concerned</strong> about security.
58321	concerned	The report is mainly <strong class="target-word">concerned</strong> with current investments.
58322	speak	Mr. Brooke <strong class="target-word">spoke</strong> to his clients about a new venture.
58323	rest	Hikers can <strong class="target-word">rest</strong> on the bench halfway up the hill.
58324	rest	The tour group had a <strong class="target-word">rest</strong> before visiting the palace.
58325	exhibition	The gallery hosted an <strong class="target-word">exhibition</strong> of urban scenic photographs.
58326	celebrity	Many <strong class="target-word">celebrities</strong> attended the city's summer park festival.
58327	live	Finnegan's café hosts a <strong class="target-word">live</strong> music performance every Saturday.
58328	improvise	The performers <strong class="target-word">improvised</strong> a jazz melody.
58329	popular	Broadway musicals are so <strong class="target-word">popular</strong> that they frequently go on tour.
58330	donation	The library is accepting <strong class="target-word">donations</strong> of children's books.
58331	alumni	St. John's University <strong class="target-word">alumni</strong> were invited to the graduation ceremony.
58332	present	Please <strong class="target-word">present</strong> valid tickets at the door.
58333	present	The <strong class="target-word">present</strong> owner of the resort intends to renovate it.
58334	present	Famous athlete Matt London was <strong class="target-word">present</strong> at the game.
58335	admission	Those wishing to visit the exhibit will be charged an extra <strong class="target-word">admission</strong> fee.
58336	banquet	The hotel has facilities for large-scale wedding <strong class="target-word">banquets</strong>.
58337	anniversary	The couple celebrated their 50th <strong class="target-word">anniversary</strong> with a party.
58338	required	Proper swimming attire is <strong class="target-word">required</strong> when using the hotel pool.
58339	succeed	Peggy <strong class="target-word">succeeded</strong> in convincing her family to visit Hawaii.
58340	succeed	Mr. Chambers will <strong class="target-word">succeed</strong> Ms. Shipman as head of the Tourism Board after she retires.
58341	collection	The museum has a unique <strong class="target-word">collection</strong> of stamps.
58342	collection	Toll <strong class="target-word">collection</strong> operates by means of an electronic system.
58343	fundraising	Auctions are a popular form of <strong class="target-word">fund-raising</strong>.
58344	resume	The play will <strong class="target-word">resume</strong> after a short intermission.
58345	issue	Jack's cake recipe was in the April <strong class="target-word">issue</strong> of Baker Monthly.
58346	issue	There are many perspectives on the <strong class="target-word">issue</strong> of global warming.
58347	subscription	I would like to get a <strong class="target-word">subscription</strong> to the Weekly Herald.
58348	appear	The novelist <strong class="target-word">appeared</strong> at the bookstore to sign autographs.
58349	accompany	Mary <strong class="target-word">accompanied</strong> her grandmother to the mall.
58350	accompany	Be careful because strong winds often <strong class="target-word">accompany</strong> rain in the mountains.
58351	edition	A revised <strong class="target-word">edition</strong> of the economics book will be published soon.
58352	specifically	The package terms <strong class="target-word">specifically</strong> stated that guests would stay at a hotel.
58353	specifically	Campgrounds around the lake are worth visiting, <strong class="target-word">specifically</strong> the Milligan site.
58354	anonymous	The charity received $6,000 from an <strong class="target-word">anonymous</strong> donor.
58355	commit	The store is <strong class="target-word">committed</strong> to providing excellent customer service.
58356	informative	The documentary was <strong class="target-word">informative</strong> and interesting.
58357	audience	The <strong class="target-word">audience</strong> applauded the singer enthusiastically.
58358	author	All of the <strong class="target-word">author</strong>'s short stories are popular.
58359	note	Please <strong class="target-word">note</strong> the intricate details of the architecture.
58360	antique	<strong class="target-word">Antiques</strong> are popular for home decor.
58361	manuscript	The author is working on several <strong class="target-word">manuscripts</strong>.
58362	beneficial	The organization's work is <strong class="target-word">beneficial</strong> to the community.
58363	upcoming	A reporter spoke to a candidate for the <strong class="target-word">upcoming</strong> election.
58364	lend	The library <strong class="target-word">lends</strong> a variety of audio-visual materials.
58365	current	<strong class="target-word">Current</strong> subscribers to the magazine will receive a free supplement.
58366	local	The tournament will be held at the <strong class="target-word">local</strong> high school.
58367	variety	The newsstand sells a <strong class="target-word">variety</strong> of magazines and newspapers.
58368	variety	The specialty coffee store sells more than twenty <strong class="target-word">varieties</strong> of coffee.
58369	advocate	The writer is an <strong class="target-word">advocate</strong> of public education.
58370	contributor	The doctor is a regular <strong class="target-word">contributor</strong> to the medical journal.
58371	defy	The documentary series <strong class="target-word">defies</strong> conventional wisdom about fitness.
58372	defy	The play <strong class="target-word">defied</strong> all description.
58373	fascinating	Many <strong class="target-word">fascinating</strong> pieces of art were on display.
58374	showing	We attended the premiere <strong class="target-word">showing</strong> of the Rita Garner movie.
58375	showing	There will be another <strong class="target-word">showing</strong> of this artist's work.
58376	survey	Customer <strong class="target-word">surveys</strong> help to improve product quality.
58377	analysis	The latest market <strong class="target-word">analysis</strong> shows an increase in used car purchases.
58378	respondent	Almost all survey <strong class="target-word">respondents</strong> rated the product highly.
58379	monopoly	Panatronic has a virtual <strong class="target-word">monopoly</strong> on the manufacture of digital recorders.
58380	competition	<strong class="target-word">Competition</strong> in the game software market has increased.
58381	consistently	The factory has <strong class="target-word">consistently</strong> provided the highest grade products.
58382	demand	The company could not meet the increased <strong class="target-word">demand</strong> for mobile devices.
58383	demand	Mr. Hawkesby <strong class="target-word">demanded</strong> that the clause be removed.
58384	do one's utmost	Sun Manufacturing <strong class="target-word">does its utmost</strong> to ensure the quality of its products.
58385	expand	Brahe Optics has <strong class="target-word">expanded</strong> its marketing and sales division.
58386	advanced	Modern cell phones are very <strong class="target-word">advanced</strong> compared to those from a decade ago.
58387	advanced	The company is already in the <strong class="target-word">advanced</strong> stages of the product design.
58388	postpone	Organizers <strong class="target-word">postponed</strong> the conference on management strategies because of bad weather.
58389	additional	Several investors decided to purchase <strong class="target-word">additional</strong> stocks.
58390	appreciate	Benson Co. <strong class="target-word">appreciates</strong> your continued business.
58391	appreciate	The supervisor <strong class="target-word">appreciated</strong> Gloria's excellent organizing skills.
58392	appreciate	The gallery was filled with people <strong class="target-word">appreciating</strong> the masterpieces.
58393	demonstration	The salesclerk offered to provide a <strong class="target-word">demonstration</strong> on how to use the photocopier.
58394	demonstration	The short software <strong class="target-word">demonstration</strong> showed how much money the business could save.
58395	buy	The acquisitions department <strong class="target-word">buys</strong> all of the office equipment.
58396	examine	Research and Development will <strong class="target-word">examine</strong> food consumption trends in foreign markets.
58397	effective	An <strong class="target-word">effective</strong> advertising campaign is one that people remember for a long time.
58398	effective	Increased tax deductions will be <strong class="target-word">effective</strong> as of June 1.
58399	like	Consumers <strong class="target-word">like</strong> products that look high-end but are less expensive.
58400	especially	Manufacturers of large vehicles are facing an <strong class="target-word">especially</strong> difficult year for sales.
58401	closely	Marketing departments monitor the latest trends <strong class="target-word">closely</strong>.
58402	reserve	The secretary will <strong class="target-word">reserve</strong> hotel rooms for anyone going to the convention.
58403	reserve	Some funds have been <strong class="target-word">reserved</strong> to pay for the banquet.
58404	cooperate	The two companies <strong class="target-word">cooperated</strong> on developing the promotional campaign for the new spring collection.
58405	very	The survey was <strong class="target-word">very</strong> effective at identifying the target market.
58406	consecutive	The Barkley Company achieved high sales growth for the third <strong class="target-word">consecutive</strong> year.
58407	expectation	The <strong class="target-word">expectation</strong> is that costs will be cut.
58408	publicize	New regulations are <strong class="target-word">publicized</strong> on the government Web site.
58409	publicize	The hospital <strong class="target-word">publicized</strong> its newly built wing to attract more patients.
58410	raise	We used mass-mailing methods to <strong class="target-word">raise</strong> awareness of our brand.
58411	raise	The president <strong class="target-word">raised</strong> questions about the quality of the new product.
58412	extremely	Internet service providers struggle to survive in today's <strong class="target-word">extremely</strong> competitive market.
58413	affect	The frozen-food industry can <strong class="target-word">affect</strong> the canned goods market.
58414	target	Sales for this quarter are right on <strong class="target-word">target</strong>.
58415	target	The advertisement <strong class="target-word">targets</strong> the age range of 25-40 years.
58416	campaign	The mayor's election <strong class="target-word">campaign</strong> focused on his strong record in office.
58417	probable	One of the <strong class="target-word">probable</strong> causes for low sales was the lack of promotion.
58418	focus	Management decided to <strong class="target-word">focus</strong> resources on expanding its business.
58419	seasonal	The sugarcane industry is vulnerable to <strong class="target-word">seasonal</strong> variations.
58420	impact	Price fluctuations had a major <strong class="target-word">impact</strong> on the market.
58421	comparison	Online advertising is cheaper in <strong class="target-word">comparison</strong> with television.
58422	gap	Severe deficits can occur when there is a huge <strong class="target-word">gap</strong> between exports and imports.
58423	mounting	There is <strong class="target-word">mounting</strong> pressure from management to increase productivity.
58424	reflective	Shrinking profits are <strong class="target-word">reflective</strong> of the current state of the company.
58425	meeting	The <strong class="target-word">meeting</strong> was postponed because of a scheduling conflict.
58426	advertisement	Sales have been propelled by the new <strong class="target-word">advertisement</strong>.
58427	marginal	Customers showed only <strong class="target-word">marginal</strong> interest in the new tablet computer.
58428	marginal	The maintenance department decorated the <strong class="target-word">marginal</strong> area of the company premises.
58429	customer	Telephone representatives should make the needs of <strong class="target-word">customers</strong> their priority.
58430	influence	Demand for housing directly <strong class="target-word">influences</strong> the cost of homes.
58431	influence	Product reviews have a profound <strong class="target-word">influence</strong> on sales.
58432	instantly	The brand logo should be <strong class="target-word">instantly</strong> recognizable.
58433	creative	Mr. Beaumont came up with a <strong class="target-word">creative</strong> idea.
58434	aggressively	The best sales representatives <strong class="target-word">aggressively</strong> seek out potential clients.
58435	aim	Sport Apparel developed athletic gear <strong class="target-word">aimed</strong> at teenagers.
58436	aim	The division head will outline the <strong class="target-word">aims</strong> of the marketing strategy.
58437	strategy	Management's <strong class="target-word">strategy</strong> for expansion has been successful.
58438	indicate	Studies <strong class="target-word">indicate</strong> that consumers prefer attractively packaged products.
58439	attract	The automaker is making an effort to <strong class="target-word">attract</strong> younger buyers.
58440	experience	All of the invited guests had a pleasant <strong class="target-word">experience</strong> at the store opening.
58441	experience	Customers can <strong class="target-word">experience</strong> the new service free for a limited time.
58442	analyze	Researchers were asked to <strong class="target-word">analyze</strong> the survey data.
58443	introduce	ElectroLife <strong class="target-word">introduced</strong> a new line of vacuum cleaners.
58444	advise	Coburn Law Firm <strong class="target-word">advises</strong> clients on intellectual property matters.
58445	subscribe	<strong class="target-word">Subscribing</strong> to the monthly fashion magazine costs only $40 a year.
58446	absence	The <strong class="target-word">absence</strong> of competition will help product sales.
58447	absence	Staff members must strictly observe the new policy on <strong class="target-word">absences</strong>.
58448	means	Direct surveys are one <strong class="target-word">means</strong> of gathering consumer feedback.
58449	prefer	Customers <strong class="target-word">prefer</strong> Luster Shampoo to any other competing brand.
58450	advantage	One <strong class="target-word">advantage</strong> of consumer testing is the development of marketing insight.
58451	forward	Our company's research program has moved <strong class="target-word">forward</strong> substantially.
58452	forward	Please <strong class="target-word">forward</strong> your e-mail to the accounting manager.
58453	contemporary	Advertising messages change over time to reflect <strong class="target-word">contemporary</strong> attitudes.
58454	contemporary	The fashion brand's <strong class="target-word">contemporary</strong> look appeals to young consumers.
58455	discussion	A <strong class="target-word">discussion</strong> was held to decide how to promote the product.
58456	initial	<strong class="target-word">Initial</strong> findings show that customers are satisfied with the service.
58457	steadily	Ron <strong class="target-word">steadily</strong> answered investors' questions about his business idea.
58458	steadily	Product sales <strong class="target-word">steadily</strong> increased as time passed.
58459	necessarily	Increased production does not <strong class="target-word">necessarily</strong> lead to greater revenues.
58460	resolve	The new facial cream promises to <strong class="target-word">resolve</strong> 90 percent of common skin problems.
58461	detect	Only a few people <strong class="target-word">detected</strong> any actual differences between the two models.
58462	intensify	The movie studio <strong class="target-word">intensified</strong> its promotional activities to draw in a wider audience.
58463	favorably	The product demonstration was <strong class="target-word">favorably</strong> received by consumers.
58464	favorably	Earnings continue to develop <strong class="target-word">favorably</strong>.
58465	cover	The rental deposit <strong class="target-word">covers</strong> the cost of repairing damage to the equipment.
58466	cover	The firm's budget is large enough to <strong class="target-word">cover</strong> marketing expenses for a year.
58467	cover	The car was <strong class="target-word">covered</strong> by a sheet before being unveiled at the launch.
58468	less	<strong class="target-word">Less</strong> competition among insurance companies led to higher premiums.
58469	majority	The <strong class="target-word">majority</strong> of registered clients pay their dues regularly.
58470	adopt	Plenty of research must be done before <strong class="target-word">adopting</strong> a particular marketing strategy.
58471	largely	Public reaction to the charity foundation was <strong class="target-word">largely</strong> positive.
58472	disregard	The company should not <strong class="target-word">disregard</strong> customers' opinions if it wants to improve the service quality.
58473	effort	TV commercials were run in an <strong class="target-word">effort</strong> to broaden consumer awareness of new brands.
58474	incentive	Financial <strong class="target-word">incentives</strong> such as coupons may encourage purchases.
58475	need	The company is in <strong class="target-word">need</strong> of an untapped market.
58476	need	The vehicle was designed to meet the <strong class="target-word">needs</strong> of daily commuters.
58477	need	We <strong class="target-word">need</strong> to scrutinize each transaction for potential errors.
58478	mastermind	Mr. Dane is the <strong class="target-word">mastermind</strong> behind the innovative design.
58479	stagnant	Profits are down this year as sales have been <strong class="target-word">stagnant</strong>.
58480	dramatically	Interest rates climbed <strong class="target-word">dramatically</strong>.
58481	brisk	A <strong class="target-word">brisk</strong> market is developing in online shopping.
58482	unstable	Gas prices have been <strong class="target-word">unstable</strong> in recent years.
58483	rapidly	Energy demand increased <strong class="target-word">rapidly</strong>.
58484	soar	Interest rates have <strong class="target-word">soared</strong> due to inflation.
58485	assert	The report <strong class="target-word">asserts</strong> that corporate growth will continue.
58486	boost	The real estate industry has helped <strong class="target-word">boost</strong> the economy.
58487	analyst	<strong class="target-word">Analysts</strong> recommend buying stock in energy companies.
58488	potential	<strong class="target-word">Potential</strong> earnings from the trade deal could reach billions of dollars.
58489	potential	The newly formed company has great <strong class="target-word">potential</strong> to succeed.
58490	pleased	Investors are <strong class="target-word">pleased</strong> with the market's performance.
58491	remain	The cost of living will <strong class="target-word">remain</strong> stable over the next decade.
58492	remain	It <strong class="target-word">remains</strong> to be seen whether or not the tax cut will be passed.
58493	limited	The island nation has <strong class="target-word">limited</strong> natural resources.
58494	costly	Starting a business is <strong class="target-word">costly</strong>.
58495	particular	Import taxes are higher for <strong class="target-word">particular</strong> products that are luxury goods.
58496	drastic	Resolving the financial crisis will require <strong class="target-word">drastic</strong> action.
58497	drastic	Private citizens want <strong class="target-word">drastic</strong> reform of the banking industry.
58498	evenly	Economic wealth is not <strong class="target-word">evenly</strong> distributed.
58499	evidence	The latest employment data shows <strong class="target-word">evidence</strong> that the economy is improving.
58500	prospect	Bolton Industries is facing the <strong class="target-word">prospect</strong> of having to reduce its workforce.
58501	lead	Ms. Vasquez helped <strong class="target-word">lead</strong> the company to success.
58502	lead	Growing oil markets will <strong class="target-word">lead</strong> to economic improvement.
58503	fall	The rate of unemployment has <strong class="target-word">fallen</strong> steadily this quarter.
58504	period	For a <strong class="target-word">period</strong> of three years, the company underwent rapid expansion.
58505	indicator	Current economic <strong class="target-word">indicators</strong> show rising growth in mining.
58506	industry	Jobs in the newspaper <strong class="target-word">industry</strong> are declining rapidly.
58507	likely	The new CEO is <strong class="target-word">likely</strong> to confront major challenges.
58508	boom	Land developers are taking advantage of the housing <strong class="target-word">boom</strong>.
58509	director	The company <strong class="target-word">directors</strong> are discussing a new business strategy.
58510	substitute	Corn syrup is used as a <strong class="target-word">substitute</strong> for sugar in many food products.
58511	substitute	Ms. Ohara will be <strong class="target-word">substituting</strong> for the project manager this week.
58512	consequence	Profits grew as a <strong class="target-word">consequence</strong> of increased business.
58513	fairly	Concerns over the bankruptcy are <strong class="target-word">fairly</strong> widespread.
58514	economical	Companies are searching for <strong class="target-word">economical</strong> ways to utilize energy.
58515	thrive	The delivery service industry is <strong class="target-word">thriving</strong>.
58516	implication	The Supreme Court ruling has <strong class="target-word">implications</strong> for small businesses.
58517	wane	Consumer spending is on the <strong class="target-word">wane</strong>.
58518	prosperity	Strong economic growth is a prerequisite for national <strong class="target-word">prosperity</strong>.
58519	depression	The entire industry is going through an economic <strong class="target-word">depression</strong>.
58520	dwindle	The company's profits <strong class="target-word">dwindled</strong> in the 1990s.
58521	impede	Natural calamities in the summer will <strong class="target-word">impede</strong> national growth.
58522	promising	Many people find <strong class="target-word">promising</strong> careers in health and technology.
58523	adversity	In spite of the <strong class="target-word">adversity</strong> he faced, Mike managed to find a job.
58524	purchase	The customer <strong class="target-word">purchased</strong> a laptop computer.
58525	purchase	For every <strong class="target-word">purchase</strong> of $100 or more, customers will receive a raffle ticket.
58526	price	The new color printer has a retail <strong class="target-word">price</strong> of only $150.99.
58527	affordable	Toyama launched an <strong class="target-word">affordable</strong> mid-range sedan.
58528	exactly	The sales representatives help customers decide <strong class="target-word">exactly</strong> what style fits them best.
58529	installment	The shop allows buyers to pay for furniture in monthly <strong class="target-word">installments</strong>.
58530	notice	The prices listed in the catalog are effective until further <strong class="target-word">notice</strong>.
58531	charge	The price includes shipping and handling <strong class="target-word">charges</strong>.
58532	charge	Ms. Long is in <strong class="target-word">charge</strong> of product returns.
58533	charge	The phone company <strong class="target-word">charges</strong> high fees for installations.
58534	charge	She <strong class="target-word">charged</strong> the fee to her credit card.
58535	experienced	Bill is the most <strong class="target-word">experienced</strong> salesperson in the store.
58536	instruction	The receipt gives <strong class="target-word">instructions</strong> for returning or exchanging items.
58537	expert	A personal shopper is an <strong class="target-word">expert</strong> at finding bargains for customers.
58538	expert	An <strong class="target-word">expert</strong> designer created the layout of the store.
